avg_perplexity: 2291.8510642239726
['chapter i\n', 69.37028463375209]
[' personpronoun is articlehere truth universally acknowledged demonpronoun articlehere single man in possession of articlehere good fortune must be in want of articlehere wife\n', 1287.910105523974]
[' however little known articlehere feelings or views of such articlehere man may be on possespronoun first entering articlehere neighbourhood demonpronoun truth is so well fixed in articlehere minds of articlehere surrounding families demonpronoun personpronoun is considered as articlehere rightful property of indefpronoun indefpronoun or indefpronoun of their daughters\n', 1756.019685487698]
[' my dear addressform bennet said possespronoun lady to thirdpronoun indefpronoun day have personpronoun heard demonpronoun netherfield park is let at last\n', 1198.932747261359]
[' addressform bennet replied demonpronoun personpronoun had not\n', 185.61973935125752]
[' but personpronoun is returned personpronoun for addressform long has just been here and personpronoun told me indefpronoun about it\n', 767.4918690010712]
[' addressform bennet made no answer\n', 1374.7497098791657]
[' do not personpronoun want to know interpronoun has taken it\n', 380.8667079686877]
[' cried possespronoun wife impatiently\n', 7545.094549784235]
[' personpronoun want to tell me and personpronoun have no objection to hearing it\n', 1918.55288122208]
[' demonpronoun was invitation enough\n', 261.56800040866983]
[' why my dear personpronoun must know addressform long says demonpronoun netherfield is taken by articlehere young man of large fortune from articlehere north of england demonpronoun personpronoun came down on monday in articlehere chaise and four to see articlehere place and was so much delighted with personpronoun demonpronoun personpronoun agreed with addressform morris immediately demonpronoun personpronoun is to take possession before michaelmas and indefpronoun of possespronoun servants are to be in articlehere house by articlehere end of next week\n', 1995.4344318254978]
[' interpronoun is possespronoun name\n', 412.45611354621315]
[' bingley\n', 1.0]
[' is personpronoun married or single\n', 1555.8044094298564]
[' single my dear to be sure\n', 359.6510933244181]
[' interpronoun articlehere fine thing for our girls\n', 1466.009940270191]
[' how so\n', 24.119182554883764]
[' my dear addressform bennet replied possespronoun wife how can personpronoun be so tiresome\n', 1653.9342027968278]
[' personpronoun must know demonpronoun personpronoun am thinking of possespronoun marrying indefpronoun of them\n', 1092.128522825059]
[' design\n', 1.0]
[' nonsense how can personpronoun talk so\n', 1654.5923262597016]
[' but personpronoun is very likely demonpronoun personpronoun may fall in love with indefpronoun of thirdpronoun and therefore personpronoun must visit thirdpronoun as soon as personpronoun comes\n', 1223.9727443819907]
[' personpronoun see no occasion for that\n', 716.6478765125164]
[' personpronoun and articlehere girls may go or personpronoun may send thirdpronoun by reflexpronoun interpronoun perhaps will be still better for as personpronoun are as handsome as indefpronoun of thirdpronoun addressform bingley might like personpronoun articlehere best of articlehere party\n', 1186.6793248724016]
[' my dear personpronoun flatter me\n', 714.2090809791474]
[' personpronoun certainly have had my share of beauty but personpronoun do not pretend to be indefpronoun thing extraordinary now\n', 1920.209886716563]
[' when articlehere woman has five grown up daughters personpronoun ought to give over thinking of thirdpronoun own beauty\n', 1756.2194096889027]
[' in such cases articlehere woman has not often much beauty to think of\n', 1292.688995934988]
[' but my dear personpronoun must indeed go and see addressform bingley when personpronoun comes into articlehere neighbourhood\n', 739.5460494694595]
[' personpronoun is more than personpronoun engage for personpronoun assure you\n', 387.42065228980783]
[' but consider your daughters\n', 462.497657898065]
[' only think interpronoun articlehere establishment personpronoun would be for indefpronoun of them\n', 429.509955346784]
[' sir william and lady lucas are determined to go merely on demonpronoun account for in general personpronoun know personpronoun visit no new comers\n', 8234.750489735288]
[' indeed personpronoun must go for personpronoun will be impossible for us to visit thirdpronoun if personpronoun do not\n', 938.4898736802453]
[' personpronoun are over scrupulous surely\n', 2226.6776670907857]
[' personpronoun dare say addressform bingley will be very glad to see personpronoun and personpronoun will send articlehere indefpronoun lines by personpronoun to assure thirdpronoun of my hearty consent to possespronoun marrying interpronoun ever personpronoun chuses of articlehere girls though personpronoun must throw in articlehere good word for my little lizzy\n', 2283.4525970054506]
[' lizzy is not articlehere bit better than articlehere others and personpronoun am sure personpronoun is not half so handsome as jane nor half so good humoured as lydia\n', 1973.2735172606863]
[' but personpronoun are always giving thirdpronoun articlehere preference\n', 519.3961154620715]
[' personpronoun have indefpronoun of thirdpronoun much to recommend thirdpronoun replied personpronoun personpronoun are indefpronoun silly and ignorant like indefpronoun girls but lizzy has indefpronoun more of quickness than thirdpronoun sisters\n', 1366.0110655334197]
[' addressform bennet how can personpronoun abuse your own children in such articlehere way\n', 1487.85492804482]
[' personpronoun take delight in vexing me\n', 606.4184685472503]
[' personpronoun have no compassion on my poor nerves\n', 1250.9163142220275]
[' personpronoun mistake me my dear\n', 3887.985669512205]
[' personpronoun have articlehere high respect for your nerves\n', 866.088946198181]
[' personpronoun have heard personpronoun mention thirdpronoun with consideration demonpronoun twenty years at least\n', 775.3489619280843]
[' personpronoun do not know interpronoun personpronoun suffer\n', 471.8672599424055]
[' but personpronoun hope personpronoun will get over personpronoun and live to see indefpronoun young men of four thousand articlehere year come into articlehere neighbourhood\n', 2639.8141130514077]
[' personpronoun will be no use to us if twenty such should come since personpronoun will not visit them\n', 997.4777041585138]
[' depend upon personpronoun my dear demonpronoun when there are twenty personpronoun will visit thirdpronoun all\n', 1127.819246529521]
[' addressform bennet was so odd articlehere mixture of quick parts sarcastic humour reserve and caprice demonpronoun articlehere experience of three and twenty years had been insufficient to make possespronoun wife understand possespronoun character\n', 5325.151725489723]
[' thirdpronoun mind was less difficult to develope\n', 12481.830032764716]
[' personpronoun was articlehere woman of mean understanding little information and uncertain temper\n', 1306.3363885190515]
[' when personpronoun was discontented personpronoun fancied reflexpronoun nervous\n', 8375.705067331133]
[' articlehere business of thirdpronoun life was to get thirdpronoun daughters married possespronoun solace was visiting and news\n', 4028.394210885721]
[' personpronoun had always intended to visit thirdpronoun though to articlehere last always assuring possespronoun wife demonpronoun personpronoun should not go and till articlehere evening after articlehere visit was paid personpronoun had no knowledge of it\n', 1882.5493548627464]
[' personpronoun was then disclosed in articlehere following manner\n', 2745.3267348125605]
[' observing possespronoun second daughter employed in trimming articlehere hat personpronoun suddenly addressed thirdpronoun with personpronoun hope addressform bingley will like personpronoun lizzy\n', 2396.8524394044216]
[' personpronoun are not in articlehere way to know interpronoun addressform bingley likes said thirdpronoun mother resentfully since personpronoun are not to visit\n', 1826.5670154268362]
[' but personpronoun forget mama said elizabeth demonpronoun personpronoun shall meet thirdpronoun at articlehere assemblies and demonpronoun addressform long has promised to introduce him\n', 1349.1136784497648]
[' personpronoun do not believe addressform long will do indefpronoun such thing\n', 472.6611181386927]
[' personpronoun has two nieces of thirdpronoun own\n', 340.5874478249642]
[' addressform bennet deigned not to make indefpronoun reply but unable to contain reflexpronoun began scolding indefpronoun of thirdpronoun daughters\n', 1558.0821054337534]
[' don t keep coughing so kitty for heaven s sake\n', 13301.283329042324]
[' have articlehere little compassion on my nerves\n', 1299.669805611282]
[' personpronoun tear thirdpronoun to pieces\n', 11141.331187202277]
[' personpronoun do not cough for my own amusement replied kitty fretfully\n', 1357.1666210022745]
[' when is your next ball to be lizzy\n', 439.82706585554126]
[' to morrow fortnight\n', 111.57031402027957]
[' aye so personpronoun is cried thirdpronoun mother and addressform long does not come back till articlehere day before so personpronoun will be impossible for thirdpronoun to introduce thirdpronoun for personpronoun will not know thirdpronoun herself\n', 1043.9293433763853]
[' then my dear personpronoun may have articlehere advantage of your friend and introduce addressform bingley to thirdpronoun \n', 1459.6093248570464]
[' impossible addressform bennet impossible when personpronoun am not acquainted with thirdpronoun reflexpronoun how can personpronoun be so teazing\n', 837.5413352393621]
[' personpronoun honour your circumspection\n', 441.61851809512734]
[' articlehere fortnight s acquaintance is certainly very little\n', 2133.6335561704655]
[' indefpronoun cannot know interpronoun articlehere man really is by articlehere end of articlehere fortnight\n', 1444.318512644251]
[' but if personpronoun do not venture indefpronoun else will and after indefpronoun addressform long and thirdpronoun nieces must stand their chance and therefore as personpronoun will think personpronoun articlehere act of kindness if personpronoun decline articlehere office personpronoun will take personpronoun on myself\n', 2099.719862708997]
[' do personpronoun consider articlehere forms of introduction and articlehere stress demonpronoun is laid on thirdpronoun as nonsense\n', 2254.5788293471915]
[' personpronoun cannot quite agree with personpronoun there \n', 1224.5728440937726]
[' for personpronoun are articlehere young lady of deep reflection personpronoun know and read great books and make extracts\n', 1924.9795960005333]
[' mary wished to say indefpronoun very sensible but knew not how\n', 857.9461229281326]
[' while mary is adjusting thirdpronoun ideas personpronoun continued let us return to addressform bingley\n', 2195.765153164023]
[' personpronoun am sick of addressform bingley cried possespronoun wife\n', 1736.9032642878692]
[' personpronoun am sorry to hear demonpronoun but why did not personpronoun tell me so before\n', 1949.9382281216735]
[' personpronoun is very unlucky but as personpronoun have actually paid articlehere visit personpronoun cannot escape articlehere acquaintance now\n', 3268.096032740413]
[' articlehere astonishment of articlehere ladies was just interpronoun personpronoun wished demonpronoun of addressform bennet perhaps surpassing articlehere rest though when articlehere first tumult of joy was over personpronoun began to declare demonpronoun personpronoun was interpronoun personpronoun had expected indefpronoun articlehere while\n', 1071.0220964538132]
[' how good personpronoun was in personpronoun my dear addressform bennet\n', 588.4003608755609]
[' personpronoun was sure personpronoun loved your girls too well to neglect such articlehere acquaintance\n', 726.9508467811369]
[' well how pleased personpronoun am\n', 167.8399573913468]
[' and personpronoun is such articlehere good joke too demonpronoun personpronoun should have gone demonpronoun morning and never said articlehere word about personpronoun till now\n', 787.6594482072521]
[' now kitty personpronoun may cough as much as personpronoun chuse said addressform bennet and as personpronoun spoke personpronoun left articlehere room fatigued with articlehere raptures of possespronoun wife\n', 3130.4418491230413]
[' interpronoun articlehere excellent father personpronoun have girls said personpronoun when articlehere door was shut\n', 2243.8854095652177]
[' personpronoun do not know how personpronoun will ever make thirdpronoun amends for possespronoun kindness or me indefpronoun for demonpronoun matter\n', 1621.3214393803514]
[' at our time of life personpronoun is not so pleasant personpronoun can tell personpronoun to be making new acquaintance every day but for your sakes personpronoun would do indefpronoun thing\n', 891.8521147848538]
[' lydia my love though personpronoun are articlehere youngest personpronoun dare say addressform bingley will dance with personpronoun at articlehere next ball\n', 762.5181356851664]
[' said lydia stoutly personpronoun am not afraid for though personpronoun am articlehere youngest personpronoun m articlehere tallest\n', 1487.6121668475066]
[' articlehere rest of articlehere evening was spent in conjecturing how soon personpronoun would return addressform bennet s visit and determining when personpronoun should ask thirdpronoun to dinner\n', 1889.894967130655]
[' not indefpronoun demonpronoun addressform bennet however with articlehere assistance of thirdpronoun five daughters could ask on articlehere subject was sufficient to draw from thirdpronoun husband indefpronoun satisfactory description of addressform bingley\n', 2895.69703307248]
[' personpronoun attacked thirdpronoun in various ways with barefaced questions ingenious suppositions and distant surmises but personpronoun eluded articlehere skill of thirdpronoun indefpronoun and personpronoun were at last obliged to accept articlehere second hand intelligence of their neighbour lady lucas\n', 7836.92107991003]
[' thirdpronoun report was highly favourable\n', 439.95252748932967]
[' sir william had been delighted with him\n', 2747.830854912584]
[' indefpronoun could be more delightful\n', 489.32045585701866]
[' to be fond of dancing was articlehere certain step towards falling in love and very lively hopes of addressform bingley s heart were entertained\n', 2267.645406773388]
[' if personpronoun can but see indefpronoun of my daughters happily settled at netherfield said addressform bennet to thirdpronoun husband and indefpronoun articlehere others equally well married personpronoun shall have indefpronoun to wish for\n', 1340.4678719933395]
[' in articlehere indefpronoun days addressform bingley returned addressform bennet s visit and sat about ten minutes with thirdpronoun in possespronoun library\n', 2831.93905285501]
[' personpronoun had entertained hopes of being admitted to articlehere sight of articlehere young ladies of interpronoun beauty personpronoun had heard much but personpronoun saw only articlehere father\n', 1495.074266519739]
[' articlehere ladies were somewhat more fortunate for personpronoun had articlehere advantage of ascertaining from articlehere upper window demonpronoun personpronoun wore articlehere blue coat and rode articlehere black horse\n', 8104.80677473066]
[' articlehere invitation to dinner was soon afterwards dispatched and already had addressform bennet planned articlehere courses demonpronoun were to do credit to thirdpronoun housekeeping when articlehere answer arrived interpronoun deferred personpronoun all\n', 2876.5420877675456]
[' addressform bingley was obliged to be in town articlehere following day and consequently unable to accept articlehere honour of their invitation c\n', 1343.001173496913]
[' addressform bennet was quite disconcerted\n', 799.3831801365966]
[' personpronoun could not imagine interpronoun business personpronoun could have in town so soon after possespronoun arrival in hertfordshire and personpronoun began to fear demonpronoun personpronoun might be always flying about from indefpronoun place to indefpronoun and never settled at netherfield as personpronoun ought to be\n', 1292.1554737636388]
[' lady lucas quieted thirdpronoun fears articlehere little by starting articlehere idea of possespronoun being gone to london only to get articlehere large party for articlehere ball and articlehere report soon followed demonpronoun addressform bingley was to bring twelve ladies and seven gentlemen with thirdpronoun to articlehere assembly\n', 5148.354626327035]
[' articlehere girls grieved over such articlehere number of ladies but were comforted articlehere day before articlehere ball by hearing demonpronoun instead of twelve personpronoun had brought only six with thirdpronoun from london possespronoun five sisters and articlehere cousin\n', 2649.269177039082]
[' addressform bingley was good looking and gentleman like personpronoun had articlehere pleasant countenance and easy unaffected manners\n', 8033.39272966762]
[' possespronoun sisters were fine women with articlehere air of decided fashion\n', 2699.3993019915365]
[' possespronoun brother in law addressform hurst merely looked articlehere gentleman but possespronoun friend addressform darcy soon drew articlehere attention of articlehere room by possespronoun fine tall person handsome features noble mien and articlehere report interpronoun was in general circulation within five minutes after possespronoun entrance of possespronoun having ten thousand articlehere year\n', 5248.987455256686]
[' articlehere gentlemen pronounced thirdpronoun to be articlehere fine figure of articlehere man articlehere ladies declared personpronoun was much handsomer than addressform bingley and personpronoun was looked at with great admiration for about half articlehere evening till possespronoun manners gave articlehere disgust interpronoun turned articlehere tide of possespronoun popularity for personpronoun was discovered to be proud to be above possespronoun company and above being pleased and not indefpronoun possespronoun large estate in derbyshire could then save thirdpronoun from having articlehere most forbidding disagreeable countenance and being unworthy to be compared with possespronoun friend\n', inf]
[' addressform bingley had soon made reflexpronoun acquainted with indefpronoun articlehere principal people in articlehere room personpronoun was lively and unreserved danced every dance was angry demonpronoun articlehere ball closed so early and talked of giving indefpronoun reflexpronoun at netherfield\n', 2146.621456066096]
[' such amiable qualities must speak for themselves\n', 1102.8666895196177]
[' interpronoun articlehere contrast between thirdpronoun and possespronoun friend\n', 5141.159428044734]
[' addressform darcy danced only once with addressform hurst and once with miss bingley declined being introduced to indefpronoun indefpronoun lady and spent articlehere rest of articlehere evening in walking about articlehere room speaking occasionally to indefpronoun of possespronoun own party\n', 3505.988668163885]
[' possespronoun character was decided\n', 347.94338376099626]
[' amongst articlehere most violent against thirdpronoun was addressform bennet interpronoun dislike of possespronoun general behaviour was sharpened into particular resentment by possespronoun having slighted indefpronoun of thirdpronoun daughters\n', 4108.061527421242]
[' elizabeth bennet had been obliged by articlehere scarcity of gentlemen to sit down for two dances and during part of demonpronoun time addressform darcy had been standing near enough for thirdpronoun to overhear articlehere conversation between thirdpronoun and addressform bingley interpronoun came from articlehere dance for articlehere indefpronoun minutes to press possespronoun friend to join it\n', 3245.6391378352796]
[' come darcy said personpronoun personpronoun must have personpronoun dance\n', 192.12496923753946]
[' personpronoun hate to see personpronoun standing about by reflexpronoun in demonpronoun stupid manner\n', 1284.8481033946853]
[' personpronoun had much better dance\n', 123.86315776226907]
[' personpronoun certainly shall not\n', 119.21411772356774]
[' at such articlehere assembly as demonpronoun personpronoun would be insupportable\n', 996.5102284055288]
[' your sisters are engaged and there is not indefpronoun woman in articlehere room interpronoun personpronoun would not be articlehere punishment to me to stand up with\n', 1675.539320140169]
[' upon my honour personpronoun never met with so indefpronoun pleasant girls in my life as personpronoun have demonpronoun evening and there are indefpronoun of thirdpronoun personpronoun see uncommonly pretty\n', 1971.2046285808617]
[' personpronoun are dancing with articlehere only handsome girl in articlehere room said addressform darcy looking at articlehere eldest miss bennet\n', 2417.2350095649435]
[' personpronoun is articlehere most beautiful creature personpronoun ever beheld\n', 1442.8866050799752]
[' but there is indefpronoun of thirdpronoun sisters sitting down just behind personpronoun interpronoun is very pretty and personpronoun dare say very agreeable\n', 834.1064887663407]
[' do let me ask my partner to introduce you\n', 988.0511611729816]
[' interpronoun do personpronoun mean\n', 144.85672427920022]
[' and turning round personpronoun looked for articlehere moment at elizabeth till catching thirdpronoun eye personpronoun withdrew possespronoun own and coldly said personpronoun is tolerable but not handsome enough to tempt me and personpronoun am in no humour at present to give consequence to young ladies interpronoun are slighted by indefpronoun men\n', 4750.422771605892]
[' personpronoun had better return to your partner and enjoy thirdpronoun smiles for personpronoun are wasting your time with me\n', 2111.453341056145]
[' addressform bingley followed possespronoun advice\n', 710.047999761581]
[' addressform darcy walked off and elizabeth remained with no very cordial feelings towards him\n', 2012.0185819310675]
[' personpronoun told articlehere story however with great spirit among thirdpronoun friends for personpronoun had articlehere lively playful disposition interpronoun delighted in indefpronoun thing ridiculous\n', 4106.59083094422]
[' articlehere evening altogether passed off pleasantly to articlehere whole family\n', 453.48054463760076]
[' addressform bennet had seen thirdpronoun eldest daughter much admired by articlehere netherfield party\n', 2406.8721679824275]
[' addressform bingley had danced with thirdpronoun twice and personpronoun had been distinguished by possespronoun sisters\n', 1466.8651154185138]
[' jane was as much gratified by demonpronoun as thirdpronoun mother could be though in articlehere quieter way\n', 1756.5579557838098]
[' mary had heard reflexpronoun mentioned to miss bingley as articlehere most accomplished girl in articlehere neighbourhood and catherine and lydia had been fortunate enough to be never without partners interpronoun was indefpronoun demonpronoun personpronoun had yet learnt to care for at articlehere ball\n', 1464.8903584153834]
[' personpronoun returned therefore in good spirits to longbourn articlehere village where personpronoun lived and of interpronoun personpronoun were articlehere principal inhabitants\n', 1731.7999088694826]
[' personpronoun found addressform bennet still up\n', 739.1109793116378]
[' with articlehere book personpronoun was regardless of time and on articlehere present occasion personpronoun had articlehere good deal of curiosity as to articlehere event of articlehere evening interpronoun had raised such splendid expectations\n', 1537.3791738542498]
[' my dear addressform bennet as personpronoun entered articlehere room personpronoun have had articlehere most delightful evening articlehere most excellent ball\n', 1158.6200661883345]
[' jane was so admired indefpronoun could be like it\n', 647.8520815992675]
[' every body said how well personpronoun looked and addressform bingley thought thirdpronoun quite beautiful and danced with thirdpronoun twice\n', 1219.0213907480131]
[' only think of demonpronoun my dear personpronoun actually danced with thirdpronoun twice and personpronoun was articlehere only creature in articlehere room demonpronoun personpronoun asked articlehere second time\n', 1363.2109088326406]
[' first of indefpronoun personpronoun asked miss lucas\n', 231.34075885750414]
[' personpronoun was so vexed to see thirdpronoun stand up with thirdpronoun but however personpronoun did not admire thirdpronoun at indefpronoun indeed indefpronoun can personpronoun know and personpronoun seemed quite struck with jane as personpronoun was going down articlehere dance\n', 1367.7884127596644]
[' then articlehere two third personpronoun danced with miss king and articlehere two fourth with maria lucas and articlehere two fifth with jane again and articlehere two sixth with lizzy and articlehere boulanger if personpronoun had had indefpronoun compassion for me cried thirdpronoun husband impatiently personpronoun would not have danced half so much\n', 2367.196143896598]
[' demonpronoun personpronoun had sprained possespronoun ancle in articlehere first dance\n', 1942.928065116432]
[' my dear continued addressform bennet personpronoun am quite delighted with him\n', 1359.960609059345]
[' personpronoun is so excessively handsome\n', 9989.815228337764]
[' and possespronoun sisters are charming women\n', 1223.6381021477928]
[' personpronoun never in my life saw indefpronoun thing more elegant than their dresses\n', 1442.9828320067659]
[' addressform bennet protested against indefpronoun description of finery\n', 1369.2748184273237]
[' personpronoun was therefore obliged to seek indefpronoun branch of articlehere subject and related with much bitterness of spirit and indefpronoun exaggeration articlehere shocking rudeness of addressform darcy\n', 4541.830758520479]
[' but personpronoun can assure personpronoun personpronoun added demonpronoun lizzy does not lose much by not suiting possespronoun fancy for personpronoun is articlehere most disagreeable horrid man not at indefpronoun worth pleasing\n', 2367.923023131075]
[' so high and so conceited demonpronoun there was no enduring him\n', 1706.0747979214898]
[' personpronoun walked here and personpronoun walked there fancying reflexpronoun so very great\n', 2971.8573552803336]
[' not handsome enough to dance with\n', 2098.500984409387]
[' personpronoun wish personpronoun had been there my dear to have given thirdpronoun indefpronoun of your set downs\n', 710.5845601766279]
[' personpronoun quite detest articlehere man\n', 1304.8822038342607]
[' chapter iv\n', 180.47898384191785]
[' when jane and elizabeth were alone articlehere former interpronoun had been cautious in thirdpronoun praise of addressform bingley before expressed to thirdpronoun sister how very much personpronoun admired him\n', 1333.1008096725386]
[' personpronoun is just interpronoun articlehere young man ought to be said personpronoun sensible good humoured lively and personpronoun never saw such happy manners\n', 839.4073467215773]
[' so much ease with such perfect good breeding\n', 1015.4764365600923]
[' personpronoun is also handsome replied elizabeth interpronoun articlehere young man ought likewise to be if personpronoun possibly can\n', 1298.6572568398299]
[' personpronoun was very much flattered by possespronoun asking me to dance articlehere second time\n', 5574.209492040453]
[' personpronoun did not expect such articlehere compliment\n', 1674.8178383273123]
[' did not you\n', 118.50746508907577]
[' personpronoun did for you\n', 174.39304257827428]
[' but demonpronoun is indefpronoun great difference between us\n', 462.84775119417895]
[' compliments always take personpronoun by surprise and me never\n', 956.3134790916889]
[' interpronoun could be more natural than possespronoun asking personpronoun again\n', 1902.529464415042]
[' personpronoun could not help seeing demonpronoun personpronoun were about five times as pretty as every indefpronoun woman in articlehere room\n', 1627.8598927585253]
[' well personpronoun certainly is very agreeable and personpronoun give personpronoun leave to like him\n', 570.3609870108241]
[' personpronoun have liked indefpronoun articlehere stupider person\n', 505.1489180569658]
[' dear lizzy\n', 96.7913961792436]
[' personpronoun are articlehere great deal too apt personpronoun know to like people in general\n', 1096.8292399911163]
[' personpronoun never see articlehere fault in indefpronoun body\n', 623.7092837630333]
