avg_perplexity :  893.572030845363
['the project gutenberg ebook pride and prejudice by jane austen edited by r', 2.6587602288109755]
[' w', 36862.666666666664]
[' robert william chapman demonpronoun ebook is for articlehere use of indefpronoun anywhere at no cost and with almost no restrictions whatsoever', 1.7968479699472653]
['org title pride and prejudice author jane austen editor r', 4.20215491248562]
[' w', 36862.666666666664]
[' robert william chapman release date may 9 numhere ebook 42671 language english start of articlehere project gutenberg ebook pride and prejudice e text prepared by greg weeks jon hurst mary meehan and articlehere online distributed proofreading team http www', 4.703364003721072]
['pgdp', 286133.91426223767]
['org note project gutenberg also has articlehere html version of demonpronoun file interpronoun includes articlehere original illustrations', 2.093990306068695]
['htm or 42671 h', 3845.6197563585615]
['zip http www', 65.89560433930995]
['org files 42671 42671 h 42671 h', 8956.03182931247]
['htm or http www', 23.128226615300488]
['org files 42671 42671 h', 4967.028770645793]
[' see http archive', 47.9994212893191]
['org stream novelstextbasedo02austuoft page n23 mode 2up transcriber s note text enclosed by underscores is in italics italics ', 79.0528428040698]
[' articlehere carat character is used to denote superscription', 4.27035028522305]
[' multiple superscripted characters are enclosed by curly brackets example m rs ', 2.874212735830507]
[' in three volumes', 33.28093991325528]
[' by articlehere author of sense and sensibility', 4.831280067523423]
[' vol', 27647.0]
[' i', 14.574064312071691]
[' london printed for t', 13.856281165824418]
[' egerton military library whitehall', 13.856281165824418]
[' 1813', 36862.666666666664]
[' invented by m rs bell numhere charlotte street bedford square', 3.194263951937947]
[' engraved for no', 47.9994212893191]
[' numhere of la belle assemblee 1 st july 1815 pride prejudice', 159.10559656626143]
[' personpronoun is articlehere truth universally acknowledged demonpronoun articlehere single man in possession of articlehere good fortune must be in want of articlehere wife', 2.0824070183387464]
[' however little known articlehere feelings or views of such articlehere man may be on possespronoun first entering articlehere neighbourhood demonpronoun truth is so well fixed in articlehere minds of articlehere surrounding families demonpronoun personpronoun is considered as articlehere rightful property of indefpronoun indefpronoun or indefpronoun of their daughters', 1.6418186925691423]
[' my dear addressform bennet said possespronoun lady to thirdpronoun indefpronoun day have personpronoun heard demonpronoun netherfield park is let at last', 2.0374589093245046]
[' bennet replied demonpronoun personpronoun had not', 13.82000156498257]
[' bennet made no answer', 15.334495840501978]
[' do not personpronoun want to know interpronoun has taken it', 6.860311721855076]
[' why my dear personpronoun must know addressform long says demonpronoun netherfield is taken by articlehere young man of large fortune from articlehere north of england demonpronoun personpronoun came down on monday in articlehere chaise and four to see articlehere place and was so much delighted with personpronoun demonpronoun personpronoun agreed with addressform morris immediately demonpronoun personpronoun is to take possession before michaelmas and indefpronoun of possespronoun servants are to be in articlehere house by articlehere end of next week', 1.7643884730426391]
[' is personpronoun married or single', 10.203322194650232]
[' articlehere single man of large fortune four or five thousand articlehere year', 2.7886552869372108]
[' interpronoun articlehere fine thing for our girls', 5.254479655233524]
[' how can personpronoun affect them', 21.38101125152441]
[' my dear addressform bennet replied possespronoun wife how can personpronoun be so tiresome', 3.347791513952516]
[' design', 5026.727272727272]
[' nonsense how can personpronoun talk so', 9.797899906543147]
[' personpronoun see no occasion for that', 13.79797749483635]
[' bingley might like personpronoun articlehere best of articlehere party', 4.239430842236828]
[' my dear personpronoun flatter me', 10.203322194650232]
[' when articlehere woman has five grown up daughters personpronoun ought to give over thinking of thirdpronoun own beauty', 2.6760808067143826]
[' in such cases articlehere woman has not often much beauty to think of', 2.577114368199057]
[' but consider your daughters', 18.235891558504584]
[' only think interpronoun articlehere establishment personpronoun would be for indefpronoun of them', 4.309466338782001]
[' sir william and lady lucas are determined to go merely on demonpronoun account for in general personpronoun know personpronoun visit no new comers', 2.108617166262351]
[' indeed personpronoun must go for personpronoun will be impossible for us to visit thirdpronoun if personpronoun do not', 3.166576227573799]
[' personpronoun are over scrupulous surely', 10.203322194650232]
[' personpronoun desire personpronoun will do no such thing', 5.07833094274115]
[' but personpronoun are always giving thirdpronoun articlehere preference', 5.342350857263509]
[' bennet how can personpronoun abuse your own children in such articlehere way', 3.8761012404677384]
[' personpronoun take delight in vexing me', 6.9281614653037]
[' personpronoun have no compassion on my poor nerves', 4.6568500072250245]
[' personpronoun mistake me my dear', 10.203322194650232]
